label,current_code,gdate,hdate,notes
01-H1-C-R1-,ACAM,,,
02-H1-C-R1-,ACWR,,,
03-H1-C-R1-,AMME,,,
04-H1-C-R1-,ANAR,,,
05-H1-C-R1-,BRMA,,,
06-H1-C-R1-,CEME,,,
07-H1-C-R1-,CHGL,,,
08-H1-C-R1-,CHPA,,,
09-H1-C-R1-,CLBO,,,
10-H1-C-R1-,CLPU,,,
11-H1-C-R1-,ERCI,,,
12-H1-C-R1-,EUSP,,,
13-H1-C-R1-,FEMI,,,
14-H1-C-R1-,HECO,,,
15-H1-C-R1-,HOMU,,,
16-H1-C-R1-,LACA,,,
17-H1-C-R1-,MEPO,,,
18-H1-C-R1-,MICA,,,
19-H1-C-R1-,NAAT,,,
20-H1-C-R1-,PLER,,,
21-H1-C-R1-,SACO,,,
22-H1-C-R1-,SIGA,,,
23-H1-C-R1-,URLI,,,
01-H2-C-R1-,ACAM,,,
02-H2-C-R1-,ACWR,,,
03-H2-C-R1-,AMME,,,
04-H2-C-R1-,ANAR,,,
05-H2-C-R1-,BRMA,,,
06-H2-C-R1-,CEME,,,
07-H2-C-R1-,CHGL,,,
08-H2-C-R1-,CHPA,,,
09-H2-C-R1-,CLBO,,,
10-H2-C-R1-,CLPU,,,
11-H2-C-R1-,ERCI,,,
12-H2-C-R1-,EUSP,,,
13-H2-C-R1-,FEMI,,,
14-H2-C-R1-,HECO,,,
15-H2-C-R1-,HOMU,,,
16-H2-C-R1-,LACA,,,
17-H2-C-R1-,MEPO,,,
18-H2-C-R1-,MICA,,,
19-H2-C-R1-,NAAT,,,
20-H2-C-R1-,PLER,,,
21-H2-C-R1-,SACO,,,
22-H2-C-R1-,SIGA,,,
23-H2-C-R1-,URLI,,,
01-H3-C-R1-,ACAM,,,
02-H3-C-R1-,ACWR,,,
03-H3-C-R1-,AMME,,,
04-H3-C-R1-,ANAR,,,
05-H3-C-R1-,BRMA,,,
06-H3-C-R1-,CEME,,,
07-H3-C-R1-,CHGL,,,
08-H3-C-R1-,CHPA,,,
09-H3-C-R1-,CLBO,,,
10-H3-C-R1-,CLPU,,,
11-H3-C-R1-,ERCI,,,
12-H3-C-R1-,EUSP,,,
13-H3-C-R1-,FEMI,,,
14-H3-C-R1-,HECO,,,
15-H3-C-R1-,HOMU,,,
16-H3-C-R1-,LACA,,,
17-H3-C-R1-,MEPO,,,
18-H3-C-R1-,MICA,,,
19-H3-C-R1-,NAAT,,,
20-H3-C-R1-,PLER,,,
21-H3-C-R1-,SACO,,,
22-H3-C-R1-,SIGA,,,
23-H3-C-R1-,URLI,,,
01-H4-C-R1-,ACAM,,,
02-H4-C-R1-,ACWR,,,
03-H4-C-R1-,AMME,,,
04-H4-C-R1-,ANAR,,,
05-H4-C-R1-,BRMA,,,
06-H4-C-R1-,CEME,,,
07-H4-C-R1-,CHGL,,,
08-H4-C-R1-,CHPA,,,
09-H4-C-R1-,CLBO,,,
10-H4-C-R1-,CLPU,,,
11-H4-C-R1-,ERCI,,,
12-H4-C-R1-,EUSP,,,
13-H4-C-R1-,FEMI,,,
14-H4-C-R1-,HECO,,,
15-H4-C-R1-,HOMU,,,
16-H4-C-R1-,LACA,,,
17-H4-C-R1-,MEPO,,,
18-H4-C-R1-,MICA,,,
19-H4-C-R1-,NAAT,,,
20-H4-C-R1-,PLER,,,
21-H4-C-R1-,SACO,,,
22-H4-C-R1-,SIGA,,,
23-H4-C-R1-,URLI,,,
01-H1-C-R2-,ACAM,,,
02-H1-C-R2-,ACWR,,,
03-H1-C-R2-,AMME,,,
