"species","current_code","harvest","treatment","total_germ","low"
"01","ACAM","H1","C",10,""
"01","ACAM","H2","C",9,""
"01","ACAM","H3","C",10,""
"01","ACAM","H4","C",9,""
"02","ACWR","H1","C",10,""
"02","ACWR","H2","C",10,""
"02","ACWR","H3","C",8,""
"02","ACWR","H4","C",9,""
"03","AMME","H1","C",10,""
"03","AMME","H2","C",10,""
"03","AMME","H3","C",10,""
"03","AMME","H4","C",10,""
"04","ANAR","H1","C",1,"***"
"04","ANAR","H2","C",2,"***"
"04","ANAR","H3","C",2,"***"
"04","ANAR","H4","C",0,"***"
"05","BRMA","H1","C",10,""
"05","BRMA","H2","C",10,""
"05","BRMA","H3","C",10,""
"05","BRMA","H4","C",10,""
"06","CEME","H1","C",10,""
"06","CEME","H2","C",10,""
"06","CEME","H3","C",10,""
"06","CEME","H4","C",10,""
"07","CHGL","H1","C",10,""
"07","CHGL","H2","C",10,""
"07","CHGL","H3","C",10,""
"07","CHGL","H4","C",10,""
"08","CHPA","H1","C",10,""
"08","CHPA","H2","C",10,""
"08","CHPA","H3","C",10,""
"08","CHPA","H4","C",10,""
"09","CLBO","H1","C",10,""
"09","CLBO","H2","C",10,""
"09","CLBO","H3","C",9,""
"09","CLBO","H4","C",10,""
"10","CLPU","H1","C",10,""
"10","CLPU","H2","C",9,""
"10","CLPU","H3","C",9,""
"10","CLPU","H4","C",10,""
"11","ERCI","H1","C",6,"***"
"11","ERCI","H2","C",9,""
"11","ERCI","H3","C",7,"***"
"11","ERCI","H4","C",10,""
"12","EUSP","H1","C",9,""
"12","EUSP","H2","C",9,""
"12","EUSP","H3","C",9,""
"12","EUSP","H4","C",10,""
"13","FEMI","H1","C",10,""
"13","FEMI","H2","C",10,""
"13","FEMI","H3","C",10,""
"13","FEMI","H4","C",10,""
"14","HECO","H1","C",3,"***"
"14","HECO","H2","C",5,"***"
"14","HECO","H3","C",1,"***"
"14","HECO","H4","C",5,"***"
"15","HOMU","H1","C",10,""
"15","HOMU","H2","C",10,""
"15","HOMU","H3","C",10,""
"15","HOMU","H4","C",10,""
"16","LACA","H1","C",10,""
"16","LACA","H2","C",9,""
"16","LACA","H3","C",10,""
"16","LACA","H4","C",10,""
"17","MEPO","H1","C",7,"***"
"17","MEPO","H2","C",9,""
"17","MEPO","H3","C",7,"***"
"17","MEPO","H4","C",9,""
"18","MICA","H1","C",9,""
"18","MICA","H2","C",9,""
"18","MICA","H3","C",8,""
"18","MICA","H4","C",9,""
"19","NAAT","H1","C",9,""
"19","NAAT","H2","C",10,""
"19","NAAT","H3","C",10,""
"19","NAAT","H4","C",10,""
"20","PLER","H1","C",10,""
"20","PLER","H2","C",9,""
"20","PLER","H3","C",10,""
"20","PLER","H4","C",10,""
"21","SACO","H1","C",9,""
"21","SACO","H2","C",9,""
"21","SACO","H3","C",7,"***"
"21","SACO","H4","C",10,""
"22","SIGA","H1","C",10,""
"22","SIGA","H2","C",10,""
"22","SIGA","H3","C",10,""
"22","SIGA","H4","C",9,""
"23","URLI","H1","C",10,""
"23","URLI","H2","C",10,""
"23","URLI","H3","C",10,""
"23","URLI","H4","C",10,""
